Occupation title,Employment,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage
All Occupations,7546400,1,27.87,34.43,71610
Office and Administrative Supp,1671920,0.2216,16.47,17.89,37210
Computer and Mathematical Occu,1174180,0.1556,37.86,39.93,83050
Business and Financial Operati,1063950,0.141,31.96,36.84,76630
Architecture and Engineering O,824240,0.1092,33.61,36.61,76150
Legal Occupations,610340,0.0809,36.64,49.89,103770
Management Occupations,597740,0.0792,59.53,66.22,137740
Lawyers,381190,0.0505,56.4,66.1,137480
Accountants and Auditors,366350,0.0485,31.13,36.17,75230
Sales and Related Occupations,332480,0.0441,26.52,32.66,67940
"Life, Physical, and Social Sci",317180,0.042,29.23,33.98,70670
"Arts, Design, Entertainment, S",310800,0.0412,23.94,28.5,59280
"Office Clerks, General",234650,0.0311,13.06,14,29110
"Software Developers, Applicati",233030,0.0309,42.75,44.47,92490
Secretaries and Administrative,209020,0.0277,15.58,16.12,33530
Management Analysts,208560,0.0276,41.12,47.54,98880
"Bookkeeping, Accounting, and A",205760,0.0273,17.46,18.19,37830
Legal Secretaries,191900,0.0254,20.52,21.42,44560
General and Operations Manager,188470,0.025,62.79,69.9,145400
Paralegals and Legal Assistant,186440,0.0247,21.49,23.02,47890
Computer Systems Analysts,177790,0.0236,39.52,41.78,86900
"Software Developers, Systems S",174740,0.0232,46.26,48.26,100380
Computer Support Specialists,166010,0.022,23.8,25.97,54020
Healthcare Practitioners and T,163120,0.0216,20.88,27.63,57470
Computer Programmers,142580,0.0189,34.89,36.98,76920
Civil Engineers,135510,0.018,37.38,40.52,84280
Customer Service Representativ,128150,0.017,16.13,17.61,36630
Executive Secretaries and Exec,124140,0.0164,23.06,24.36,50680
Business Operations Specialist,114770,0.0152,32.93,36.74,76420
Production Occupations,111810,0.0148,17.27,19.41,40370
"Sales Representatives, Service",106250,0.0141,29.25,34.77,72320
Receptionists and Information ,105590,0.014,12.65,13.24,27540
Market Research Analysts and M,97560,0.0129,29.2,33.12,68890
"Information Security Analysts,",97270,0.0129,38.09,40.58,84400
First-Line Supervisors of Offi,88530,0.0117,26.47,28.17,58590
Network and Computer Systems A,87600,0.0116,36.11,38.01,79070
Computer and Information Syste,85580,0.0113,60.19,64.29,133720
Veterinary Technologists and T,73530,0.0097,14.33,14.96,31120
"Architects, Except Landscape a",73040,0.0097,34.8,37.94,78910
Healthcare Support Occupations,69190,0.0092,10.93,11.7,24340
Graphic Designers,68710,0.0091,22.49,24.88,51750
Architectural and Civil Drafte,68070,0.009,22.69,24.02,49960
Mechanical Engineers,67650,0.009,40.37,42.92,89280
"Installation, Maintenance, and",65700,0.0087,21.37,22.56,46930
Veterinary Assistants and Labo,64310,0.0085,10.74,11.35,23600
Billing and Posting Clerks,60950,0.0081,16.2,17.08,35520
Architectural and Engineering ,59760,0.0079,60.32,63.89,132900
Construction and Extraction Oc,58880,0.0078,23.6,25.06,52120
Tax Preparers,58290,0.0077,15.51,18.92,39350
Transportation and Material Mo,57840,0.0077,13.51,15.72,32690
Advertising Sales Agents,56220,0.0074,25,29.79,61970
Veterinarians,51260,0.0068,39.82,43.93,91380
Electrical Engineers,48840,0.0065,41.26,43.54,90560
Financial Managers,46620,0.0062,60.09,68.53,142540
Public Relations Specialists,46270,0.0061,28.34,35.02,72850
"Sales Representatives, Wholesa",45730,0.0061,39.24,44.06,91630
"Interviewers, Except Eligibili",45110,0.006,11.32,12.65,26310
"Human Resources, Training, and",42980,0.0057,30.05,32.56,67720
"Medical Scientists, Except Epi",40870,0.0054,41.02,46.34,96390
Photographers,38260,0.0051,12.43,16.13,33540
"Inspectors, Testers, Sorters, ",36580,0.0048,18.23,20.38,42390
Personal Care and Service Occu,35790,0.0047,9.36,10.57,21980
Environmental Scientists and S,34260,0.0045,31.13,34.51,71780
Civil Engineering Technicians,33600,0.0045,22.42,23.22,48300
"Managers, All Other",32990,0.0044,52.87,56.89,118330
Marketing Managers,32960,0.0044,60.13,65.61,136460
Surveying and Mapping Technici,31590,0.0042,17.69,18.98,39490
"Electronics Engineers, Except ",31560,0.0042,46.1,47.88,99580
Surveyors,31180,0.0041,25.9,27.52,57230
Electrical and Electronics Eng,30200,0.004,26.9,27.7,57620
Building and Grounds Cleaning ,29930,0.004,11.39,12.77,26570
Construction and Building Insp,29910,0.004,25.19,26.2,54490
Database Administrators,29520,0.0039,37.34,38.64,80370
Data Entry Keyers,28850,0.0038,13.54,14.21,29550
Nonfarm Animal Caretakers,28840,0.0038,9.21,10.21,21240
"Engineers, All Other",28740,0.0038,41.67,43.04,89520
Training and Development Speci,28600,0.0038,31.05,32.33,67240
"Laborers and Freight, Stock, a",28390,0.0038,11.87,13.18,27410
"Computer Occupations, All Othe",28380,0.0038,34.27,35.4,73630
Financial Analysts,28210,0.0037,35.64,40.97,85210
Chief Executives,27930,0.0037,-5,97.66,203130
Aerospace Engineers,27560,0.0037,50.87,52.28,108740
Industrial Engineers,27530,0.0036,40.05,41.27,85840
Computer Hardware Engineers,27460,0.0036,46.74,48.15,100160
Chemists,27410,0.0036,33.15,35.88,74620
Environmental Engineers,26570,0.0035,37.7,40.71,84670
File Clerks,26460,0.0035,13.32,14.09,29300
Bill and Account Collectors,26000,0.0034,16.42,17.46,36320
Interior Designers,24800,0.0033,23.59,26.36,54840
Demonstrators and Product Prom,24370,0.0032,10.97,13.04,27120
"Purchasing Agents, Except Whol",24350,0.0032,29.85,31.83,66200
Biological Technicians,24290,0.0032,19.97,21.23,44150
Sales Managers,24070,0.0032,62.78,68.08,141600
"Title Examiners, Abstractors, ",23660,0.0031,18.66,20.12,41840
"Sales Representatives, Wholesa",23190,0.0031,27.56,33.4,69470
"Production, Planning, and Expe",22970,0.003,21.47,22.81,47440
Administrative Services Manage,22500,0.003,41.77,46.02,95720
Chemical Technicians,21980,0.0029,18.07,19.79,41170
Mail Clerks and Mail Machine O,20220,0.0027,11.93,12.99,27030
Logisticians,18780,0.0025,33.87,35.91,74690
Payroll and Timekeeping Clerks,18430,0.0024,18.35,18.77,39050
Maintenance and Repair Workers,18170,0.0024,18.72,20.04,41680
"Education, Training, and Libra",18120,0.0024,26.05,29.45,61250
Technical Writers,18080,0.0024,31.72,32.84,68310
"Janitors and Cleaners, Except ",18010,0.0024,10.78,12.08,25120
Mechanical Drafters,17910,0.0024,24.19,25.83,53730
Interpreters and Translators,17450,0.0023,25.88,29.48,61310
Telemarketers,16940,0.0022,11.6,13.56,28200
